web_scraper_order,web_scraper_start_url,product_link,product_link-href,pagination,pagination-href,item_name,item_brand,item_price,item_description,item_id,item_materials
1762303463-1,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,Darn ToughBear Town Micro Crew Socks - Women's,https://www.rei.com/product/159260/darn-tough-bear-town-micro-crew-socks-womens,,,Darn Tough   Bear Town Micro Crew Socks - Women's,Darn Tough,$25.00,"Lightly cushioned hiking socks with all the anti-funk qualities of merino wool, the women's Darn Tough Bear Town Micro Crew socks give you freedom and flex to hike your way up any trail.",#159260,54% nylon/43% merino wool/3% Lycra spandex
1762303466-2,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,Royal RobbinsWestlands Relaxed Pullover - Women's,https://www.rei.com/product/255834/royal-robbins-westlands-relaxed-pullover-womens,,,Royal Robbins   Westlands Relaxed Pullover - Women's,Royal Robbins,$82.73,"Spend the cooler months in this cozy Royal Robbins sweater. It's made with a warm blend of merino wool and recycled polyester. And it features a colorful, allover Fair Isle pattern.",#255834,60% merino wool/40% recycled polyester
1762303470-3,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,The North FaceL/S Lightrange Shirt - Women's,https://www.rei.com/product/243580/the-north-face-ls-lightrange-shirt-womens,,,The North Face   L/S Lightrange Shirt - Women's,The North Face,$46.83,"Designed for hiking, the women's The North Face L/S LIGHTRANGE shirt offers UPF protection, anti-odor technology and moisture management so you can stay comfortable when you're on the move.",#243580,Main body: 100 g/m2 82% recycled polyester/18% polyester; lower back panel and chest overlays: 94 g/m2 76% recycled polyester/24% polyester; lining: 50 g/m2 100% recycled polyester
1762303474-4,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,WoolrichMerino Wool Hiking Crew Socks - Men's,https://www.rei.com/product/229499/woolrich-merino-wool-hiking-crew-socks-mens,,,Woolrich   Merino Wool Hiking Crew Socks - Men's,Woolrich,$17.73,"Ideal for year-round hiking, these Woolrich merino wool hiking socks wick moisture, provide arch support and offer shin protection with targeted cushioning.",#229499,79% merino wool/20% nylon/1% LYCRA spandex
1762303477-5,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opSahara Stretch Convertible Pants - Women's,https://www.rei.com/product/242644/rei-co-op-sahara-stretch-convertible-pants-womens,,,REI Co-op   Sahara Stretch Convertible Pants - Women's,REI Co-op,$49.83,"Inspired by our iconic hiking pants—but designed with extra stretch and a slimmer leg—the women's REI Co-op Sahara Stretch Convertible pants repel water, dry fast and zip off into shorts as needed.",#242644,88% nylon/12% spandex (bluesign approved)
1762303486-6,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opMerino Wool Lightweight Hiking Quarter Socks,https://www.rei.com/product/165399/rei-co-op-merino-wool-lightweight-hiking-quarter-socks,,,REI Co-op   Merino Wool Lightweight Hiking Quarter Socks,REI Co-op,$16.95,"Bare a little more skin for a little cooler hike with the REI Co-op Merino Wool Lightweight hiking quarter socks. Naturally breathable, moisture-wicking and odor-resistant, they cushion every step.",#165399,78% merino wool/21% nylon/1% LYCRA spandex
1762303490-7,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,IcebreakerHike Medium Crew Socks - Women's,https://www.rei.com/product/183314/icebreaker-hike-medium-crew-socks-womens,,,Icebreaker   Hike Medium Crew Socks - Women's,Icebreaker,$17.73,"Durable, medium-cushioned, crew-height merino wool socks, the women's Icebreaker Hike Medium crew socks supply cushion and ample breathability for warm-weather day hikes and backpacking trips.",#183314,60% wool/37% nylon/3% LYCRA spandex
1762303494-8,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opActive Pursuits Long-Sleeve T-Shirt - Men's,https://www.rei.com/product/221918/rei-co-op-active-pursuits-long-sleeve-t-shirt-mens,,,REI Co-op   Active Pursuits Long-Sleeve T-Shirt - Men's,REI Co-op,$34.95,"Reach for the REI Co-op men's Active Pursuits long-sleeve T-shirt day after day as a wicking, drying, sun-protective layer for your next adventure out. It has a soft feel and plenty of stretch.",#221918,92% polyester/8% spandex (bluesign®-approved)
1762303502-9,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opSahara Shade Hoodie - Women's,https://www.rei.com/product/184879/rei-co-op-sahara-shade-hoodie-womens,,,REI Co-op   Sahara Shade Hoodie - Women's,REI Co-op,$49.95,"This REI Co-op sun shirt is great for days spent on the trails or water. Its stretchy, technical knit wicks moisture and provides UPF 50+ sun protection. Pull up the hood for extra coverage.",#184879,92% polyester/8% spandex (bluesign approved)
1762303505-10,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,Darn ToughClose Encounters Micro Crew Midweight Hiking Socks - Men's,https://www.rei.com/product/221981/darn-tough-close-encounters-micro-crew-midweight-hiking-socks-mens,,,Darn Tough   Close Encounters Micro Crew Midweight Hiking Socks - Men's,Darn Tough,$26.00,"Made with climate-regulating merino wool for all-day comfort on the trails, the men's Darn Tough Close Encounters Micro Crew Midweight hiking socks feature a fun scene with a nod to the supernatural.",#221981,58% merino wool/39% nylon/3% LYCRA spandex
1762303511-11,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,Darn ToughLight Hiker Micro Crew Socks - Men's,https://www.rei.com/product/154491/darn-tough-light-hiker-micro-crew-socks-mens,,,Darn Tough   Light Hiker Micro Crew Socks - Men's,Darn Tough,$25.00,"These redesigned men's Darn Tough Light Hiker Micro Crew socks feature increased breathability with mesh panels, smooth ribbing, uppers that stay put and extended cushioning over the Achilles tendons.",#154491,54% nylon/43% merino wool/3% Lycra spandex
